# time step,rewards
531.0,13.925300
532.0,13.926200
533.0,13.927400
534.0,13.928500
535.0,13.929700
536.0,13.929500
537.0,13.930200
538.0,13.931000
539.0,13.932300
540.0,13.933500
541.0,13.933900
542.0,13.934300
543.0,13.935200
544.0,13.936700
545.0,13.937800
546.0,13.938500
547.0,13.939200
548.0,13.939800
549.0,13.940500
550.0,13.941300
551.0,13.942200
552.0,13.942500
553.0,13.942600
554.0,13.943000
555.0,13.943500
556.0,13.944000
557.0,13.944500
558.0,13.944600
559.0,13.944900
560.0,13.945300
561.0,13.946000
562.0,13.946900
563.0,13.947700
564.0,13.948500
565.0,13.949000
566.0,13.949800
567.0,13.951400
568.0,13.952300
569.0,13.953200
570.0,13.954400
571.0,13.954900
572.0,13.955600
573.0,13.956100
574.0,13.956900
575.0,13.957800
576.0,13.958100
577.0,13.958500
578.0,13.959200
579.0,13.959600
580.0,13.960400
581.0,13.961500
582.0,13.962400
583.0,13.963000
584.0,13.964000
585.0,13.964500
586.0,13.964600
587.0,13.965700
588.0,13.966800
589.0,13.967200
590.0,13.967800
591.0,13.968500
592.0,13.969500
593.0,13.970100
594.0,13.970900
595.0,13.971900
596.0,13.972800
597.0,13.973600
598.0,13.974500
599.0,13.975600
600.0,13.976100
601.0,13.976500
602.0,13.976800
603.0,13.977800
604.0,13.978200
605.0,13.978900
606.0,13.979600
607.0,13.980000
608.0,13.981100
609.0,13.981300
610.0,13.981900
611.0,13.983000
612.0,13.983500
613.0,13.984100
614.0,13.984200
615.0,13.985500
616.0,13.986400
617.0,13.987700
618.0,13.988500
619.0,13.989000
620.0,13.989500
621.0,13.989600
622.0,13.990400
623.0,13.991200
624.0,13.991700
625.0,13.992500
626.0,13.992700
627.0,13.993100
628.0,13.994200
629.0,13.994700
630.0,13.995000
631.0,13.995900
632.0,13.996300
633.0,13.997200
634.0,13.997600
635.0,13.998000
636.0,13.998600
637.0,13.998800
638.0,13.999100
639.0,13.999700
640.0,14.000400
641.0,14.001000
642.0,14.001800
643.0,14.002100
644.0,14.003500
645.0,14.004000
646.0,14.004200
647.0,14.005400
648.0,14.005700
649.0,14.006200
650.0,14.006700
651.0,14.007500
652.0,14.008600
653.0,14.009200
654.0,14.010200
655.0,14.011300
656.0,14.011600
657.0,14.011900
658.0,14.013000
659.0,14.013400
660.0,14.014300
661.0,14.014900
662.0,14.015900
663.0,14.016400
664.0,14.017100
665.0,14.017600
666.0,14.018200
667.0,14.018900
668.0,14.019500
669.0,14.019900
670.0,14.020300
671.0,14.021100
672.0,14.022100
673.0,14.022700
674.0,14.022800
675.0,14.023300
676.0,14.024000
677.0,14.024700
678.0,14.025200
679.0,14.025400
680.0,14.025800
681.0,14.026200
682.0,14.026600
683.0,14.026900
684.0,14.027800
685.0,14.028200
686.0,14.028800
687.0,14.029000
688.0,14.029600
689.0,14.029900
690.0,14.030400
691.0,14.030500
692.0,14.031500
693.0,14.032400
694.0,14.033300
695.0,14.034200
696.0,14.035300
697.0,14.036100
698.0,14.036200
699.0,14.036300
