# time step,rewards
497.0,14.678900
498.0,14.679100
499.0,14.680100
500.0,14.680900
501.0,14.681600
502.0,14.682400
503.0,14.683200
504.0,14.684100
505.0,14.684500
506.0,14.684600
507.0,14.685000
508.0,14.685200
509.0,14.685500
510.0,14.686600
511.0,14.687400
512.0,14.687900
513.0,14.688500
514.0,14.688800
515.0,14.689100
516.0,14.689800
517.0,14.690300
518.0,14.690000
519.0,14.691400
520.0,14.692300
521.0,14.693300
522.0,14.694400
523.0,14.694900
524.0,14.695400
525.0,14.695400
526.0,14.696300
527.0,14.696400
528.0,14.696700
529.0,14.697200
530.0,14.698000
531.0,14.698800
532.0,14.700000
533.0,14.700400
534.0,14.700800
535.0,14.701300
536.0,14.702100
537.0,14.702600
538.0,14.703000
539.0,14.703600
540.0,14.703900
541.0,14.703800
542.0,14.704500
543.0,14.704600
544.0,14.704700
545.0,14.704600
546.0,14.704900
547.0,14.705600
548.0,14.706100
549.0,14.706400
550.0,14.707100
551.0,14.707500
552.0,14.707400
553.0,14.707800
554.0,14.708100
555.0,14.709100
556.0,14.709000
557.0,14.710100
558.0,14.710500
559.0,14.710600
560.0,14.711200
561.0,14.711800
562.0,14.712000
563.0,14.712200
564.0,14.712600
565.0,14.712800
566.0,14.713100
567.0,14.712900
568.0,14.713800
569.0,14.714200
570.0,14.714900
571.0,14.715900
572.0,14.715800
573.0,14.716200
574.0,14.716600
575.0,14.716900
576.0,14.717300
577.0,14.717600
578.0,14.717600
579.0,14.717800
580.0,14.717700
581.0,14.718100
582.0,14.719000
583.0,14.719600
584.0,14.719700
585.0,14.720100
586.0,14.720700
587.0,14.720800
588.0,14.720800
589.0,14.721100
590.0,14.722400
591.0,14.722800
592.0,14.723500
593.0,14.723600
594.0,14.723900
595.0,14.724300
596.0,14.724400
597.0,14.725100
598.0,14.725700
599.0,14.725900
600.0,14.726700
601.0,14.726600
602.0,14.727200
603.0,14.727500
604.0,14.727800
605.0,14.728000
606.0,14.728500
607.0,14.728500
608.0,14.728500
609.0,14.728900
610.0,14.729000
611.0,14.729500
612.0,14.729800
613.0,14.729800
614.0,14.730200
615.0,14.730400
616.0,14.730900
617.0,14.731100
618.0,14.731400
619.0,14.732100
620.0,14.732500
621.0,14.733200
622.0,14.733800
623.0,14.733400
624.0,14.733500
625.0,14.734000
626.0,14.734300
627.0,14.734500
628.0,14.735000
629.0,14.735700
630.0,14.735500
631.0,14.736000
632.0,14.736300
633.0,14.736500
634.0,14.736900
635.0,14.737600
636.0,14.737600
637.0,14.737900
638.0,14.738300
639.0,14.738900
640.0,14.739500
641.0,14.739600
642.0,14.740000
643.0,14.740500
644.0,14.740600
645.0,14.741500
646.0,14.741600
647.0,14.742200
648.0,14.742600
649.0,14.743200
650.0,14.743700
651.0,14.743800
652.0,14.743700
653.0,14.743700
654.0,14.744100
655.0,14.744700
656.0,14.744600
657.0,14.744700
658.0,14.745400
659.0,14.746600
660.0,14.747300
661.0,14.747200
662.0,14.747700
663.0,14.747700
664.0,14.748600
665.0,14.748800
666.0,14.749300
667.0,14.750000
668.0,14.750600
669.0,14.751300
670.0,14.751600
671.0,14.751800
672.0,14.752300
673.0,14.752300
674.0,14.752800
675.0,14.752700
676.0,14.752800
677.0,14.753000
678.0,14.753000
679.0,14.753600
680.0,14.753900
681.0,14.754300
682.0,14.754900
683.0,14.755900
684.0,14.755700
685.0,14.755700
686.0,14.756400
687.0,14.756600
688.0,14.756700
689.0,14.757300
690.0,14.757300
691.0,14.758000
692.0,14.758300
693.0,14.758400
694.0,14.758500
695.0,14.758600
696.0,14.758400
697.0,14.759000
698.0,14.759200
699.0,14.759100
700.0,14.759600
701.0,14.759600
702.0,14.759600
703.0,14.760100
704.0,14.759900
705.0,14.759800
706.0,14.760200
707.0,14.759900
708.0,14.760600
709.0,14.760700
710.0,14.760600
711.0,14.760500
712.0,14.760300
713.0,14.760200
714.0,14.759900
715.0,14.760300
716.0,14.760000
717.0,14.760200
718.0,14.760600
719.0,14.761000
720.0,14.761400
721.0,14.761100
722.0,14.761300
723.0,14.761600
724.0,14.762000
725.0,14.762400
726.0,14.762900
727.0,14.763100
728.0,14.763600
729.0,14.763800
730.0,14.764000
731.0,14.764300
732.0,14.764400
733.0,14.764400
734.0,14.764600
735.0,14.765100
736.0,14.764900
737.0,14.765000
738.0,14.765700
739.0,14.765500
740.0,14.765500
741.0,14.766300
742.0,14.766300
743.0,14.766900
744.0,14.767300
745.0,14.767400
746.0,14.767700
747.0,14.768000
748.0,14.768600
749.0,14.768500
750.0,14.768600
751.0,14.768700
752.0,14.768800
753.0,14.769000
754.0,14.769200
755.0,14.769400
756.0,14.769500
757.0,14.769800
758.0,14.770500
759.0,14.771000
760.0,14.770800
761.0,14.771100
762.0,14.771000
763.0,14.771000
764.0,14.770800
765.0,14.771000
766.0,14.771300
767.0,14.771700
768.0,14.772000
769.0,14.772000
770.0,14.772300
771.0,14.772500
772.0,14.772300
773.0,14.772200
774.0,14.772500
775.0,14.772600
776.0,14.772600
777.0,14.772800
778.0,14.773500
779.0,14.773200
780.0,14.773600
781.0,14.774100
782.0,14.774400
783.0,14.775000
784.0,14.775500
785.0,14.775600
786.0,14.775900
787.0,14.776100
788.0,14.776300
789.0,14.776400
790.0,14.776900
791.0,14.777300
792.0,14.777500
793.0,14.777900
794.0,14.778100
795.0,14.778400
796.0,14.778500
797.0,14.778600
798.0,14.778300
799.0,14.778000
800.0,14.778200
801.0,14.778400
802.0,14.778700
803.0,14.778900
804.0,14.779100
805.0,14.779000
806.0,14.779100
807.0,14.779400
808.0,14.779100
809.0,14.779400
810.0,14.779800
811.0,14.779900
812.0,14.780000
813.0,14.780500
814.0,14.780400
815.0,14.780600
816.0,14.780600
817.0,14.780900
818.0,14.781400
819.0,14.781600
820.0,14.781800
821.0,14.781900
822.0,14.781900
823.0,14.782400
824.0,14.782700
825.0,14.782800
826.0,14.783200
827.0,14.783900
828.0,14.783800
829.0,14.784100
830.0,14.784300
831.0,14.784800
832.0,14.785100
833.0,14.785700
834.0,14.785900
835.0,14.786200
836.0,14.786100
837.0,14.786200
838.0,14.786700
839.0,14.786600
840.0,14.786200
841.0,14.786500
842.0,14.786400
843.0,14.786900
844.0,14.787000
845.0,14.787100
846.0,14.787200
847.0,14.787200
848.0,14.787100
849.0,14.787500
850.0,14.787500
851.0,14.787400
852.0,14.787600
853.0,14.787900
854.0,14.788000
855.0,14.788500
856.0,14.788400
857.0,14.788900
858.0,14.789100
859.0,14.789500
860.0,14.789500
861.0,14.789500
862.0,14.789800
863.0,14.790400
864.0,14.790800
865.0,14.791100
866.0,14.791100
867.0,14.791400
868.0,14.791500
869.0,14.791500
870.0,14.791600
871.0,14.792000
872.0,14.792200
873.0,14.792700
874.0,14.793100
875.0,14.793400
876.0,14.793600
877.0,14.793300
878.0,14.793400
879.0,14.793600
880.0,14.793800
881.0,14.793900
882.0,14.793900
883.0,14.794200
884.0,14.794500
885.0,14.794800
886.0,14.794800
887.0,14.795200
888.0,14.795100
889.0,14.795100
890.0,14.795200
891.0,14.795600
892.0,14.795500
893.0,14.796000
894.0,14.796500
895.0,14.796500
896.0,14.796900
897.0,14.797400
898.0,14.797800
899.0,14.797500
900.0,14.797600
901.0,14.797600
902.0,14.797900
903.0,14.798200
904.0,14.798400
905.0,14.798400
906.0,14.798800
907.0,14.799100
908.0,14.799100
909.0,14.799200
910.0,14.799800
911.0,14.800200
912.0,14.800800
913.0,14.800900
914.0,14.801300
915.0,14.801400
916.0,14.801400
917.0,14.801800
918.0,14.801700
919.0,14.801800
920.0,14.801700
921.0,14.802000
922.0,14.802300
923.0,14.802600
924.0,14.802700
925.0,14.802600
926.0,14.802900
927.0,14.802700
928.0,14.803000
929.0,14.803300
930.0,14.803100
931.0,14.803300
932.0,14.803400
933.0,14.803600
934.0,14.804000
935.0,14.804200
936.0,14.804100
937.0,14.804200
938.0,14.804700
939.0,14.804800
940.0,14.804700
941.0,14.804800
942.0,14.804900
943.0,14.805100
944.0,14.805100
945.0,14.805400
946.0,14.805400
947.0,14.805400
948.0,14.805800
949.0,14.806000
950.0,14.806000
951.0,14.806100
952.0,14.806400
953.0,14.806600
954.0,14.806800
955.0,14.807000
956.0,14.807200
957.0,14.807200
958.0,14.807500
959.0,14.807400
960.0,14.807500
961.0,14.807500
962.0,14.807700
963.0,14.808100
964.0,14.808700
965.0,14.808500
966.0,14.808900
967.0,14.809300
968.0,14.809400
969.0,14.809400
970.0,14.809700
971.0,14.809600
972.0,14.809700
973.0,14.809800
974.0,14.810100
975.0,14.810400
976.0,14.810100
977.0,14.810600
978.0,14.810800
979.0,14.811200
980.0,14.811400
981.0,14.811200
982.0,14.811000
983.0,14.811300
984.0,14.811400
985.0,14.811700
986.0,14.811500
987.0,14.811800
988.0,14.812000
989.0,14.812200
990.0,14.812200
991.0,14.812300
992.0,14.812300
993.0,14.812400
994.0,14.812800
995.0,14.812800
996.0,14.812700
997.0,14.812700
998.0,14.813100
999.0,14.813700
1000.0,14.813800
1001.0,14.814200
1002.0,14.814300
1003.0,14.814500
1004.0,14.814600
1005.0,14.814700
1006.0,14.815300
1007.0,14.815400
1008.0,14.815600
1009.0,14.815700
1010.0,14.815800
1011.0,14.815800
1012.0,14.816100
1013.0,14.816400
1014.0,14.816600
1015.0,14.816800
1016.0,14.817100
1017.0,14.817300
1018.0,14.817700
1019.0,14.817800
1020.0,14.817600
1021.0,14.818000
1022.0,14.818500
1023.0,14.818600
1024.0,14.818900
1025.0,14.818900
1026.0,14.818900
1027.0,14.819100
1028.0,14.819300
1029.0,14.819500
1030.0,14.820000
1031.0,14.820000
1032.0,14.820300
1033.0,14.820600
1034.0,14.820700
1035.0,14.820800
1036.0,14.820600
1037.0,14.821100
1038.0,14.821200
1039.0,14.821200
1040.0,14.821100
1041.0,14.821200
1042.0,14.821300
1043.0,14.821700
1044.0,14.822200
1045.0,14.822300
1046.0,14.822300
1047.0,14.822600
1048.0,14.822700
1049.0,14.822800
1050.0,14.822900
1051.0,14.823600
1052.0,14.824000
1053.0,14.823900
1054.0,14.823600
1055.0,14.823600
1056.0,14.823600
1057.0,14.823900
1058.0,14.824200
1059.0,14.824600
1060.0,14.824700
1061.0,14.824700
1062.0,14.824900
1063.0,14.825200
1064.0,14.825200
1065.0,14.825500
1066.0,14.825700
1067.0,14.826000
1068.0,14.826200
1069.0,14.826400
1070.0,14.826600
1071.0,14.826800
1072.0,14.826800
1073.0,14.826900
1074.0,14.826700
1075.0,14.826700
1076.0,14.826800
1077.0,14.826900
1078.0,14.826700
1079.0,14.827100
1080.0,14.827100
1081.0,14.827000
1082.0,14.827100
1083.0,14.827500
1084.0,14.827600
1085.0,14.828000
1086.0,14.828600
1087.0,14.828700
1088.0,14.828900
1089.0,14.829000
1090.0,14.829000
1091.0,14.829300
1092.0,14.829800
1093.0,14.829700
1094.0,14.829900
1095.0,14.829900
1096.0,14.830300
1097.0,14.830100
1098.0,14.830200
1099.0,14.830300
1100.0,14.830400
1101.0,14.830400
1102.0,14.830600
1103.0,14.830800
1104.0,14.831200
1105.0,14.831200
1106.0,14.831400
1107.0,14.831700
1108.0,14.831600
1109.0,14.831700
1110.0,14.831900
1111.0,14.831800
1112.0,14.832000
1113.0,14.832000
1114.0,14.832500
1115.0,14.832900
1116.0,14.833000
1117.0,14.833200
1118.0,14.833300
1119.0,14.833800
1120.0,14.833800
1121.0,14.833700
1122.0,14.833800
1123.0,14.834200
1124.0,14.834600
1125.0,14.834500
1126.0,14.834700
1127.0,14.834600
1128.0,14.834900
1129.0,14.835200
1130.0,14.835400
