# time step,model 3 true rewards,random true rewards
500.0,1.004900,0.999900
501.0,1.003000,0.997900
502.0,1.001000,0.996000
503.0,0.999100,0.994000
504.0,0.997200,0.992000
505.0,0.995300,0.990100
506.0,0.993400,0.988100
507.0,0.991500,0.986200
508.0,0.989600,0.984200
509.0,0.987800,0.982300
510.0,0.985900,0.980400
511.0,0.984000,0.978400
512.0,0.982200,0.976500
513.0,0.980300,0.974600
514.0,0.978500,0.972700
515.0,0.976600,0.970800
516.0,0.974800,0.969000
517.0,0.973000,0.967100
518.0,0.971200,0.965200
519.0,0.969400,0.963400
520.0,0.967600,0.961500
521.0,0.965800,0.959700
522.0,0.964000,0.957800
523.0,0.962200,0.956000
524.0,0.960400,0.954200
525.0,0.958600,0.952300
526.0,0.956900,0.950500
527.0,0.955100,0.948700
528.0,0.953400,0.946900
529.0,0.951600,0.945100
530.0,0.949900,0.943400
531.0,0.948100,0.941600
532.0,0.946400,0.939800
533.0,0.944700,0.938000
534.0,0.943000,0.936300
535.0,0.941300,0.934500
536.0,0.939600,0.932800
537.0,0.937900,0.931100
538.0,0.936200,0.929300
539.0,0.934500,0.927600
540.0,0.932800,0.925900
541.0,0.931100,0.924200
542.0,0.929500,0.922500
543.0,0.927800,0.920800
544.0,0.926100,0.919100
545.0,0.924500,0.917400
546.0,0.922800,0.915700
547.0,0.921200,0.914000
548.0,0.919600,0.912400
549.0,0.917900,0.910700
550.0,0.916300,0.909100
551.0,0.914700,0.907400
552.0,0.913100,0.905800
553.0,0.911500,0.904100
554.0,0.909900,0.902500
555.0,0.908300,0.900900
556.0,0.906700,0.899200
557.0,0.905100,0.897600
558.0,0.903500,0.896000
559.0,0.901900,0.894400
560.0,0.900400,0.892800
561.0,0.898800,0.891200
562.0,0.897200,0.889700
563.0,0.895700,0.888100
564.0,0.894100,0.886500
565.0,0.892600,0.884900
566.0,0.891000,0.883400
567.0,0.889500,0.881800
568.0,0.888000,0.880300
569.0,0.886500,0.878700
570.0,0.884900,0.877200
571.0,0.883400,0.875600
572.0,0.881900,0.874100
573.0,0.880400,0.872600
574.0,0.878900,0.871100
575.0,0.877400,0.869500
576.0,0.875900,0.868000
577.0,0.874400,0.866500
578.0,0.873000,0.865000
579.0,0.871500,0.863500
580.0,0.870000,0.862100
581.0,0.868600,0.860600
582.0,0.867100,0.859100
583.0,0.865600,0.857600
584.0,0.864200,0.856100
585.0,0.862700,0.854700
586.0,0.861300,0.853200
587.0,0.859900,0.851800
588.0,0.858400,0.850300
589.0,0.857000,0.848900
590.0,0.855600,0.847400
591.0,0.854200,0.846000
592.0,0.852700,0.844600
593.0,0.851300,0.843200
594.0,0.849900,0.841700
595.0,0.848500,0.840300
596.0,0.847100,0.838900
597.0,0.845700,0.837500
598.0,0.844300,0.836100
599.0,0.843000,0.834700
600.0,0.841600,0.833300
601.0,0.840200,0.831900
602.0,0.838800,0.830500
603.0,0.837500,0.829200
604.0,0.836100,0.827800
605.0,0.834700,0.826400
606.0,0.833400,0.825100
607.0,0.832000,0.823700
608.0,0.830700,0.822400
609.0,0.829400,0.821000
610.0,0.828000,0.819700
611.0,0.826700,0.818300
612.0,0.825400,0.817000
613.0,0.824000,0.815700
614.0,0.822700,0.814300
615.0,0.821400,0.813000
616.0,0.820100,0.811700
617.0,0.818800,0.810400
618.0,0.817500,0.809100
619.0,0.816200,0.807800
620.0,0.814900,0.806500
621.0,0.813600,0.805200
622.0,0.812300,0.803900
623.0,0.811000,0.802600
624.0,0.809700,0.801300
625.0,0.808500,0.800000
626.0,0.807200,0.798700
627.0,0.805900,0.797400
628.0,0.804700,0.796200
629.0,0.803400,0.794900
630.0,0.802200,0.793700
631.0,0.800900,0.792400
632.0,0.799700,0.791100
633.0,0.798400,0.789900
634.0,0.797200,0.788600
635.0,0.795900,0.787400
636.0,0.794700,0.786200
637.0,0.793500,0.784900
638.0,0.792200,0.783700
639.0,0.791000,0.782500
640.0,0.789800,0.781200
641.0,0.788600,0.780000
642.0,0.787400,0.778800
643.0,0.786200,0.777600
644.0,0.785000,0.776400
645.0,0.783800,0.775200
646.0,0.782600,0.774000
647.0,0.781400,0.772800
648.0,0.780200,0.771600
649.0,0.779000,0.770400
650.0,0.777800,0.769200
651.0,0.776600,0.768000
652.0,0.775500,0.766900
653.0,0.774300,0.765700
654.0,0.773100,0.764500
655.0,0.771900,0.763400
656.0,0.770800,0.762200
657.0,0.769600,0.761000
658.0,0.768500,0.759900
659.0,0.767300,0.758700
660.0,0.766200,0.757600
661.0,0.765000,0.756400
662.0,0.763900,0.755300
663.0,0.762700,0.754100
664.0,0.761600,0.753000
665.0,0.760500,0.751900
666.0,0.759300,0.750800
667.0,0.758200,0.749600
668.0,0.757100,0.748500
669.0,0.756000,0.747400
670.0,0.754900,0.746300
671.0,0.753700,0.745200
672.0,0.752600,0.744000
673.0,0.751500,0.742900
674.0,0.750400,0.741800
675.0,0.749300,0.740700
676.0,0.748200,0.739600
677.0,0.747100,0.738600
678.0,0.746000,0.737500
679.0,0.744900,0.736400
680.0,0.743900,0.735300
681.0,0.742800,0.734200
682.0,0.741700,0.733100
683.0,0.740600,0.732100
684.0,0.739500,0.731000
685.0,0.738500,0.729900
686.0,0.737400,0.728900
687.0,0.736300,0.727800
688.0,0.735300,0.726700
689.0,0.734200,0.725700
690.0,0.733200,0.724600
691.0,0.732100,0.723600
692.0,0.731100,0.722500
693.0,0.730000,0.721500
694.0,0.729000,0.720500
695.0,0.727900,0.719400
696.0,0.726900,0.718400
697.0,0.725900,0.717400
698.0,0.724800,0.716300
699.0,0.723800,0.715300
700.0,0.722800,0.714300
701.0,0.721800,0.713300
702.0,0.720700,0.712300
703.0,0.719700,0.711200
704.0,0.718700,0.710200
705.0,0.717700,0.709200
706.0,0.716700,0.708200
707.0,0.715700,0.707200
708.0,0.714700,0.706200
709.0,0.713700,0.705200
710.0,0.712700,0.704200
711.0,0.711700,0.703200
712.0,0.710700,0.702200
713.0,0.709700,0.701300
714.0,0.708700,0.700300
715.0,0.707700,0.699300
716.0,0.706700,0.698300
717.0,0.705800,0.697400
718.0,0.704800,0.696400
719.0,0.703800,0.695400
720.0,0.702800,0.694400
721.0,0.701900,0.693500
722.0,0.700900,0.692500
723.0,0.699900,0.691600
724.0,0.699000,0.690600
725.0,0.698000,0.689700
726.0,0.697000,0.688700
727.0,0.696100,0.687800
728.0,0.695100,0.686800
729.0,0.694200,0.685900
730.0,0.693200,0.684900
731.0,0.692300,0.684000
732.0,0.691400,0.683100
733.0,0.690400,0.682100
734.0,0.689500,0.681200
735.0,0.688500,0.680300
736.0,0.687600,0.679300
737.0,0.686700,0.678400
738.0,0.685800,0.677500
739.0,0.684800,0.676600
740.0,0.683900,0.675700
741.0,0.683000,0.674800
742.0,0.682100,0.673900
743.0,0.681200,0.672900
744.0,0.680200,0.672000
745.0,0.679300,0.671100
746.0,0.678400,0.670200
747.0,0.677500,0.669300
748.0,0.676600,0.668400
749.0,0.675700,0.667600
750.0,0.674800,0.666700
751.0,0.673900,0.665800
752.0,0.673000,0.664900
753.0,0.672100,0.664000
754.0,0.671300,0.663100
755.0,0.670400,0.662300
756.0,0.669500,0.661400
757.0,0.668600,0.660500
758.0,0.667700,0.659600
759.0,0.666800,0.658800
760.0,0.666000,0.657900
761.0,0.665100,0.657000
762.0,0.664200,0.656200
763.0,0.663400,0.655300
764.0,0.662500,0.654500
765.0,0.661600,0.653600
766.0,0.660800,0.652700
767.0,0.659900,0.651900
768.0,0.659100,0.651000
769.0,0.658200,0.650200
770.0,0.657300,0.649400
771.0,0.656500,0.648500
772.0,0.655600,0.647700
773.0,0.654800,0.646800
774.0,0.654000,0.646000
775.0,0.653100,0.645200
776.0,0.652300,0.644300
777.0,0.651400,0.643500
778.0,0.650600,0.642700
779.0,0.649800,0.641800
780.0,0.648900,0.641000
781.0,0.648100,0.640200
782.0,0.647300,0.639400
783.0,0.646500,0.638600
784.0,0.645600,0.637800
785.0,0.644800,0.636900
786.0,0.644000,0.636100
787.0,0.643200,0.635300
788.0,0.642400,0.634500
789.0,0.641600,0.633700
