# time step,model 3 true rewards,random true rewards
819.0,9.974200,10.000700
820.0,9.974200,10.000700
821.0,9.974200,10.001000
822.0,9.974200,10.001800
823.0,9.974200,10.002300
824.0,9.974200,10.002100
825.0,9.974200,10.002000
826.0,9.974200,10.002700
827.0,9.974200,10.002700
828.0,9.974300,10.002600
829.0,9.974300,10.003000
830.0,9.974300,10.002900
831.0,9.974300,10.002700
832.0,9.974300,10.003000
833.0,9.974300,10.003100
834.0,9.974300,10.003100
835.0,9.974300,10.003500
836.0,9.974300,10.003400
837.0,9.974300,10.003200
838.0,9.974300,10.003100
839.0,9.974300,10.002900
840.0,9.974400,10.002300
841.0,9.974400,10.002100
842.0,9.974400,10.002000
843.0,9.974400,10.001600
844.0,9.974400,10.001700
845.0,9.974400,10.001400
846.0,9.974400,10.001200
847.0,9.974400,10.001000
848.0,9.974400,10.001200
849.0,9.974400,10.000700
850.0,9.974400,10.000600
851.0,9.974400,10.000800
852.0,9.974400,10.000900
853.0,9.974400,10.001100
854.0,9.974500,10.001300
855.0,9.974500,10.001600
856.0,9.974500,10.001700
857.0,9.974500,10.001900
858.0,9.974500,10.002200
859.0,9.974500,10.001700
860.0,9.974500,10.001600
861.0,9.974500,10.001500
862.0,9.974500,10.001800
863.0,9.974500,10.001600
864.0,9.974500,10.001200
865.0,9.974500,10.001100
866.0,9.974500,10.001300
867.0,9.974500,10.000900
868.0,9.974600,10.000900
869.0,9.974600,10.000700
870.0,9.974600,10.000700
871.0,9.974600,10.001200
872.0,9.974600,10.001200
873.0,9.974600,10.001100
874.0,9.974600,10.000800
875.0,9.974600,10.000900
876.0,9.974600,10.000700
877.0,9.974600,10.000700
878.0,9.974600,10.000600
879.0,9.974600,10.000700
880.0,9.974600,10.001000
881.0,9.974600,10.001100
882.0,9.974600,10.001100
883.0,9.974700,10.001000
884.0,9.974700,10.001100
885.0,9.974700,10.000900
886.0,9.974700,10.000900
887.0,9.974700,10.000900
888.0,9.974700,10.000600
889.0,9.974700,10.000600
890.0,9.974700,10.000200
891.0,9.974700,10.000000
892.0,9.974700,9.999400
893.0,9.974700,9.999300
894.0,9.974700,9.998900
895.0,9.974700,9.999100
896.0,9.974700,9.998900
897.0,9.974800,9.998700
898.0,9.974800,9.998400
899.0,9.974800,9.998600
900.0,9.974800,9.998300
901.0,9.974800,9.998600
902.0,9.974800,9.998500
903.0,9.974800,9.998600
904.0,9.974800,9.998900
905.0,9.974800,9.998700
906.0,9.974800,9.999200
907.0,9.974800,9.999100
908.0,9.974800,9.999300
909.0,9.974900,9.999100
910.0,9.974900,9.999200
911.0,9.974900,9.998700
912.0,9.974900,9.998300
913.0,9.974900,9.998100
914.0,9.974900,9.998300
915.0,9.974900,9.998100
916.0,9.974900,9.998500
917.0,9.974900,9.998800
918.0,9.974900,9.998600
919.0,9.974900,9.998800
920.0,9.974900,9.999100
921.0,9.974900,9.999000
922.0,9.975000,9.998900
923.0,9.975000,9.998800
924.0,9.975000,9.999000
925.0,9.975000,9.999400
926.0,9.975000,9.999400
927.0,9.975000,9.999300
928.0,9.975000,9.999000
929.0,9.975000,9.999100
930.0,9.975000,9.998900
931.0,9.975000,9.999100
932.0,9.975000,9.998900
933.0,9.975000,9.999100
934.0,9.975100,9.999200
935.0,9.975100,9.999100
936.0,9.975100,9.999200
937.0,9.975100,9.999100
938.0,9.975100,9.999200
939.0,9.975100,9.999300
940.0,9.975100,9.999200
941.0,9.975100,9.998900
942.0,9.975100,9.999300
943.0,9.975100,9.999400
944.0,9.975100,9.999300
945.0,9.975100,9.999000
946.0,9.975100,9.999500
947.0,9.975200,9.999400
948.0,9.975200,9.999500
949.0,9.975200,9.999800
950.0,9.975200,10.000000
951.0,9.975200,9.999800
952.0,9.975200,9.999700
953.0,9.975200,10.000300
954.0,9.975200,10.000400
955.0,9.975200,10.000000
956.0,9.975200,9.999800
957.0,9.975200,9.999600
958.0,9.975200,9.999800
959.0,9.975300,9.999700
960.0,9.975300,9.999600
961.0,9.975300,9.999900
962.0,9.975300,10.000100
963.0,9.975300,10.000000
964.0,9.975300,10.000200
965.0,9.975300,10.000300
966.0,9.975300,10.000400
967.0,9.975300,10.000100
968.0,9.975300,10.000100
969.0,9.975300,9.999700
970.0,9.975300,9.999600
971.0,9.975400,9.999600
972.0,9.975400,9.999200
973.0,9.975400,9.999800
974.0,9.975400,9.999500
975.0,9.975400,9.999700
976.0,9.975400,10.000100
977.0,9.975400,10.000000
978.0,9.975400,10.000100
979.0,9.975400,10.000400
980.0,9.975400,10.000200
981.0,9.975400,10.000400
982.0,9.975400,10.000500
983.0,9.975400,10.000400
984.0,9.975500,10.000100
985.0,9.975500,10.000100
986.0,9.975500,9.999900
987.0,9.975500,9.999700
988.0,9.975500,9.999700
989.0,9.975500,9.999700
990.0,9.975500,9.999800
991.0,9.975500,9.999700
992.0,9.975500,9.999500
993.0,9.975500,9.999100
994.0,9.975500,9.999000
995.0,9.975500,9.999200
