# time step,ucb true rewards,random true rewards
369.0,1.354200,1.163800
370.0,1.350600,1.160700
371.0,1.347000,1.157600
372.0,1.343300,1.154500
373.0,1.339700,1.151400
374.0,1.336100,1.148300
375.0,1.332600,1.145300
376.0,1.329100,1.142200
377.0,1.325600,1.139200
378.0,1.322100,1.136200
379.0,1.318600,1.133200
380.0,1.315200,1.130200
381.0,1.311700,1.127300
382.0,1.308300,1.124300
383.0,1.304900,1.121400
384.0,1.301500,1.118500
385.0,1.298200,1.115600
386.0,1.294800,1.112700
387.0,1.291500,1.109900
388.0,1.288200,1.107000
389.0,1.284900,1.104200
390.0,1.281600,1.101300
391.0,1.278300,1.098500
392.0,1.275100,1.095700
393.0,1.271800,1.093000
394.0,1.268600,1.090200
395.0,1.265400,1.087400
396.0,1.262200,1.084700
397.0,1.259100,1.082000
398.0,1.255900,1.079300
399.0,1.252800,1.076600
400.0,1.249600,1.073900
401.0,1.246500,1.071200
402.0,1.243400,1.068600
403.0,1.240400,1.065900
404.0,1.237300,1.063300
405.0,1.234200,1.060700
406.0,1.231200,1.058100
407.0,1.228200,1.055500
408.0,1.225200,1.052900
409.0,1.222200,1.050300
410.0,1.219200,1.047800
411.0,1.216200,1.045200
412.0,1.213300,1.042700
413.0,1.210300,1.040200
414.0,1.207400,1.037600
415.0,1.204600,1.035200
416.0,1.201700,1.032700
417.0,1.198800,1.030200
418.0,1.196000,1.027700
419.0,1.193100,1.025300
420.0,1.190300,1.022900
421.0,1.187500,1.020400
422.0,1.184600,1.018000
423.0,1.181800,1.015600
424.0,1.179100,1.013200
425.0,1.176300,1.010800
426.0,1.173500,1.008500
427.0,1.170800,1.006100
428.0,1.168000,1.003800
429.0,1.165300,1.001400
430.0,1.162600,0.999100
431.0,1.159900,0.996800
432.0,1.157200,0.994500
433.0,1.154500,0.992200
434.0,1.151900,0.989900
435.0,1.149200,0.987600
436.0,1.146600,0.985400
437.0,1.144000,0.983100
438.0,1.141400,0.980900
439.0,1.138800,0.978600
440.0,1.136200,0.976400
441.0,1.133600,0.974200
442.0,1.131000,0.972000
443.0,1.128500,0.969800
444.0,1.125900,0.967600
445.0,1.123500,0.965500
446.0,1.120900,0.963300
447.0,1.118400,0.961200
448.0,1.115900,0.959000
449.0,1.113500,0.956900
450.0,1.111000,0.954800
451.0,1.108500,0.952600
452.0,1.106100,0.950500
453.0,1.103600,0.948400
454.0,1.101200,0.946400
455.0,1.098800,0.944300
456.0,1.096400,0.942200
457.0,1.094000,0.940200
458.0,1.091600,0.938100
459.0,1.089200,0.936100
460.0,1.086800,0.934000
461.0,1.084500,0.932000
462.0,1.082100,0.930000
463.0,1.079800,0.928000
464.0,1.077500,0.926000
465.0,1.075200,0.924000
466.0,1.072900,0.922000
467.0,1.070600,0.920000
468.0,1.068300,0.918100
469.0,1.066000,0.916100
470.0,1.063700,0.914200
471.0,1.061500,0.912200
472.0,1.059200,0.910300
473.0,1.057000,0.908400
474.0,1.054800,0.906500
475.0,1.052500,0.904600
476.0,1.050300,0.902700
477.0,1.048100,0.900800
478.0,1.045900,0.898900
479.0,1.043800,0.897000
