# time step,reward random diff model 3
672.0,-0.008600
673.0,-0.008600
674.0,-0.008600
675.0,-0.008600
676.0,-0.008600
677.0,-0.008600
678.0,-0.008600
679.0,-0.008600
680.0,-0.008600
681.0,-0.008600
682.0,-0.008600
683.0,-0.008600
684.0,-0.008500
685.0,-0.008500
686.0,-0.008500
687.0,-0.008500
688.0,-0.008500
689.0,-0.008500
690.0,-0.008500
691.0,-0.008500
692.0,-0.008500
693.0,-0.008500
694.0,-0.008500
695.0,-0.008500
696.0,-0.008500
697.0,-0.008500
698.0,-0.008500
699.0,-0.008500
700.0,-0.008500
701.0,-0.008500
702.0,-0.008500
703.0,-0.008500
704.0,-0.008500
705.0,-0.008500
706.0,-0.008500
707.0,-0.008500
708.0,-0.008500
709.0,-0.008400
710.0,-0.008400
711.0,-0.008400
712.0,-0.008400
713.0,-0.008400
714.0,-0.008400
715.0,-0.008400
716.0,-0.008400
717.0,-0.008400
718.0,-0.008400
719.0,-0.008400
720.0,-0.008400
721.0,-0.008400
722.0,-0.008400
723.0,-0.008400
724.0,-0.008400
725.0,-0.008300
726.0,-0.008300
727.0,-0.008300
728.0,-0.008300
729.0,-0.008300
730.0,-0.008300
731.0,-0.008300
732.0,-0.008300
733.0,-0.008300
734.0,-0.008300
735.0,-0.008300
736.0,-0.008300
737.0,-0.008300
738.0,-0.008300
739.0,-0.008200
740.0,-0.008200
741.0,-0.008200
742.0,-0.008200
743.0,-0.008200
744.0,-0.008200
745.0,-0.008200
746.0,-0.008200
747.0,-0.008200
748.0,-0.008200
749.0,-0.008200
750.0,-0.008200
751.0,-0.008200
752.0,-0.008100
753.0,-0.008100
754.0,-0.008100
755.0,-0.008100
756.0,-0.008100
757.0,-0.008100
758.0,-0.008100
759.0,-0.008100
760.0,-0.008100
761.0,-0.008100
762.0,-0.008100
763.0,-0.008100
764.0,-0.008000
765.0,-0.008000
766.0,-0.008000
767.0,-0.008000
768.0,-0.008000
769.0,-0.008000
770.0,-0.008000
771.0,-0.008000
772.0,-0.008000
773.0,-0.008000
774.0,-0.008000
775.0,-0.008000
776.0,-0.007900
777.0,-0.007900
778.0,-0.007900
779.0,-0.007900
780.0,-0.007900
781.0,-0.007900
782.0,-0.007900
783.0,-0.007900
784.0,-0.007900
785.0,-0.007900
786.0,-0.007900
787.0,-0.007900
788.0,-0.007900
789.0,-0.007800
790.0,-0.007800
791.0,-0.007800
792.0,-0.007800
793.0,-0.007800
794.0,-0.007800
795.0,-0.007800
796.0,-0.007800
797.0,-0.007800
798.0,-0.007800
799.0,-0.007800
800.0,-0.007800
801.0,-0.007700
802.0,-0.007700
803.0,-0.007700
804.0,-0.007700
805.0,-0.007700
806.0,-0.007700
807.0,-0.007700
808.0,-0.007700
809.0,-0.007700
810.0,-0.007700
811.0,-0.007700
812.0,-0.007700
813.0,-0.007700
814.0,-0.007700
815.0,-0.007600
816.0,-0.007600
817.0,-0.007600
818.0,-0.007600
819.0,-0.007600
820.0,-0.007600
821.0,-0.007600
822.0,-0.007600
823.0,-0.007600
824.0,-0.007600
825.0,-0.007600
826.0,-0.007600
827.0,-0.007600
828.0,-0.007500
829.0,-0.007500
830.0,-0.007500
831.0,-0.007500
832.0,-0.007500
833.0,-0.007500
834.0,-0.007500
835.0,-0.007500
836.0,-0.007500
837.0,-0.007500
838.0,-0.007500
839.0,-0.007500
840.0,-0.007500
841.0,-0.007400
842.0,-0.007400
843.0,-0.007400
844.0,-0.007400
845.0,-0.007400
846.0,-0.007400
847.0,-0.007400
848.0,-0.007400
849.0,-0.007400
850.0,-0.007400
851.0,-0.007400
852.0,-0.007400
853.0,-0.007400
854.0,-0.007400
855.0,-0.007300
856.0,-0.007300
857.0,-0.007300
858.0,-0.007300
859.0,-0.007300
860.0,-0.007300
861.0,-0.007300
862.0,-0.007300
863.0,-0.007300
864.0,-0.007300
865.0,-0.007300
866.0,-0.007300
867.0,-0.007300
868.0,-0.007200
869.0,-0.007200
870.0,-0.007200
871.0,-0.007200
872.0,-0.007200
873.0,-0.007200
874.0,-0.007200
875.0,-0.007200
876.0,-0.007200
877.0,-0.007200
878.0,-0.007200
879.0,-0.007200
880.0,-0.007200
881.0,-0.007200
882.0,-0.007200
883.0,-0.007100
884.0,-0.007100
885.0,-0.007100
886.0,-0.007100
887.0,-0.007100
888.0,-0.007100
889.0,-0.007100
890.0,-0.007100
891.0,-0.007100
892.0,-0.007100
893.0,-0.007100
894.0,-0.007100
895.0,-0.007100
896.0,-0.007100
897.0,-0.007000
898.0,-0.007000
899.0,-0.007000
900.0,-0.007000
901.0,-0.007000
902.0,-0.007000
903.0,-0.007000
904.0,-0.007000
905.0,-0.007000
906.0,-0.007000
907.0,-0.007000
908.0,-0.007000
909.0,-0.007000
910.0,-0.007000
911.0,-0.007000
912.0,-0.006900
913.0,-0.006900
914.0,-0.006900
915.0,-0.006900
916.0,-0.006900
917.0,-0.006900
918.0,-0.006900
919.0,-0.006900
920.0,-0.006900
921.0,-0.006900
922.0,-0.006900
923.0,-0.006900
924.0,-0.006900
925.0,-0.006900
926.0,-0.006900
927.0,-0.006800
928.0,-0.006800
929.0,-0.006800
930.0,-0.006800
931.0,-0.006800
932.0,-0.006800
933.0,-0.006800
934.0,-0.006800
935.0,-0.006800
936.0,-0.006800
937.0,-0.006800
938.0,-0.006800
939.0,-0.006800
940.0,-0.006800
941.0,-0.006800
942.0,-0.006700
943.0,-0.006700
944.0,-0.006700
945.0,-0.006700
946.0,-0.006700
947.0,-0.006700
948.0,-0.006700
949.0,-0.006700
950.0,-0.006700
951.0,-0.006700
952.0,-0.006700
953.0,-0.006700
954.0,-0.006700
955.0,-0.006700
956.0,-0.006700
957.0,-0.006600
958.0,-0.006600
959.0,-0.006600
960.0,-0.006600
961.0,-0.006600
962.0,-0.006600
963.0,-0.006600
964.0,-0.006600
965.0,-0.006600
966.0,-0.006600
967.0,-0.006600
968.0,-0.006600
969.0,-0.006600
970.0,-0.006600
971.0,-0.006600
972.0,-0.006600
973.0,-0.006500
974.0,-0.006500
975.0,-0.006500
976.0,-0.006500
977.0,-0.006500
978.0,-0.006500
979.0,-0.006500
980.0,-0.006500
981.0,-0.006500
982.0,-0.006500
983.0,-0.006500
984.0,-0.006500
985.0,-0.006500
986.0,-0.006500
987.0,-0.006500
988.0,-0.006500
989.0,-0.006400
990.0,-0.006400
991.0,-0.006400
992.0,-0.006400
993.0,-0.006400
994.0,-0.006400
995.0,-0.006400
996.0,-0.006400
997.0,-0.006400
998.0,-0.006400
999.0,-0.006400
1000.0,-0.006400
1001.0,-0.006400
1002.0,-0.006400
1003.0,-0.006400
1004.0,-0.006400
1005.0,-0.006400
1006.0,-0.006300
1007.0,-0.006300
1008.0,-0.006300
1009.0,-0.006300
1010.0,-0.006300
1011.0,-0.006300
